column_ref,code,description,notes
"csra_review.type","FULL","Legacy NOMIS full assessment.","origin=NOMIS (mapped on during migration)"
"csra_review.type","HEALTH","Legacy NOMIS health assessment.","origin=NOMIS (mapped on during migration)"
"csra_review.type","LOCATE","Legacy NOMIS location assessment.","origin=NOMIS (mapped on during migration)"
"csra_review.type","RATING","Legacy NOMIS rating assessment.","origin=NOMIS (mapped on during migration)"
"csra_review.type","RECEPTION","Legacy NOMIS reception assessment.","origin=NOMIS (mapped on during migration)"
"csra_review.type","REVIEW","Legacy NOMIS review.","origin=NOMIS (mapped on during migration)"
"csra_review.type","CSRA_INITIAL_REVIEW","New DPS initial assessment - the two-stage provisional/final journey.","origin=DPS"
"csra_review.type","CSRA_REVIEW","New DPS review of an existing rating - a separate journey from the initial assessment.","origin=DPS"
"csra_review.interim_result / csra_review.final_result / csra_current_rating.rating","HIGH","Legacy NOMIS High - cannot share a cell. NOMIS had no general/specific split, so migrated reviews use this and it is kept distinct from HIGH_GENERAL.",""
"csra_review.interim_result / csra_review.final_result / csra_current_rating.rating","HIGH_GENERAL","New DPS ""High risk - general"" - cannot share a cell with anyone.",""
"csra_review.interim_result / csra_review.final_result / csra_current_rating.rating","HIGH_SPECIFIC","New DPS ""High risk - specific"" - can share only with specific types of prisoner.",""
"csra_review.interim_result / csra_review.final_result / csra_current_rating.rating","STANDARD","Can share a cell. Legacy NOMIS LOW and MED both collapse to this value.",""
"csra_review.status","IN_PROGRESS","Started and editable, with no final rating yet.",""
"csra_review.status","COMPLETE","A final rating has been recorded. Also the state of every migrated NOMIS review.",""
"csra_review.status","CLOSED","Was in progress with a provisional or interim rating when the prisoner moved. No longer in progress, but its rating still counts as current.",""
"csra_review.status","ARCHIVED","Was in progress with no rating when the prisoner moved. Retained for investigation but hidden from the service, and never a current rating.",""
"csra_review.closure_reason","NOT_COMPLETED_PRISONER_TRANSFER","The prisoner was transferred to another establishment, with no release in between, before the review was completed.",""
"csra_review.closure_reason","NOT_COMPLETED_PRISONER_RELEASE","The prisoner was readmitted following a period of release before the review was completed. The rating is also reset to No rating.",""
"csra_assessment_stage.stage","PROVISIONAL","The initial assessment's Day 1 rating, issued when not all information is available.","result stored in csra_review.interim_result; a review carries PROVISIONAL or INTERIM, never both"
"csra_assessment_stage.stage","INTERIM","The review journey's first-stage rating, issued when a review cannot be completed in one sitting.","result stored in csra_review.interim_result; a review carries PROVISIONAL or INTERIM, never both"
"csra_assessment_stage.stage","FINAL","The rating that completes either journey.","result stored in csra_review.final_result"
"csra_assessment_stage.review_reason","SCHEDULED_LONG_TERM_HIGH_RISK_REVIEW","A scheduled long-term high risk review.","review journey only; null on an initial assessment"
"csra_assessment_stage.review_reason","SHORT_TERM_HIGH_RISK_REVIEW","A short-term high risk review.","review journey only; null on an initial assessment"
"csra_assessment_stage.review_reason","NEW_OR_ADDITIONAL_INFORMATION","New or additional information came to light.","review journey only; null on an initial assessment"
"csra_assessment_stage.review_reason","RECENT_CHANGE_IN_BEHAVIOUR_OR_THINKING","A recent change in the prisoner's behaviour or thinking.","review journey only; null on an initial assessment"
"csra_assessment_stage_offence_evidence.offence","MURDER_MANSLAUGHTER","Murder, manslaughter or a life-threatening assault on another prisoner in custody.","answer held as csra_assessment_stage.offence_murder_manslaughter; a row here means that question was answered Yes"
"csra_assessment_stage_offence_evidence.offence","ASSISTING_SUICIDE","Assisting a suicide in custody.","answer held as csra_assessment_stage.offence_assisting_suicide; a row here means that question was answered Yes"
"csra_assessment_stage_offence_evidence.offence","SEXUAL_ASSAULT","Sexual assault of a same-sex adult victim.","answer held as csra_assessment_stage.offence_sexual_assault; a row here means that question was answered Yes"
"csra_assessment_stage_offence_evidence.offence","REPEATED_VIOLENCE","Repeated violence in custody.","answer held as csra_assessment_stage.offence_repeated_violence; a row here means that question was answered Yes"
"csra_assessment_stage_offence_evidence.offence","PREJUDICE_MOTIVATED","Offending or behaviour motivated by prejudice.","answer held as csra_assessment_stage.offence_prejudice_motivated; a row here means that question was answered Yes"
"csra_assessment_stage_offence_evidence.offence","ARSON","Arson or fire setting.","answer held as csra_assessment_stage.offence_arson; a row here means that question was answered Yes"
"csra_assessment_stage_offence_evidence.offence","KIDNAP_HOSTAGE","Kidnap, hostage taking or false imprisonment.","answer held as csra_assessment_stage.offence_kidnap_hostage; a row here means that question was answered Yes"
"csra_assessment_stage_offence_evidence.pnc / .warrant / .dps / .per / .other","PNC","PNC - current and previous convictions.","stored as one boolean column per source, not as this code. Non-null: an unticked box means ""not this source"", not ""not answered"""
"csra_assessment_stage_offence_evidence.pnc / .warrant / .dps / .per / .other","WARRANT","Warrant - current charge or offence.","stored as one boolean column per source, not as this code. Non-null: an unticked box means ""not this source"", not ""not answered"""
"csra_assessment_stage_offence_evidence.pnc / .warrant / .dps / .per / .other","DPS","DPS - current and historical adjudications.","stored as one boolean column per source, not as this code. Non-null: an unticked box means ""not this source"", not ""not answered"""
"csra_assessment_stage_offence_evidence.pnc / .warrant / .dps / .per / .other","PER","PER - violent behaviours in prison, court or PECS custody.","stored as one boolean column per source, not as this code. Non-null: an unticked box means ""not this source"", not ""not answered"""
"csra_assessment_stage_offence_evidence.pnc / .warrant / .dps / .per / .other","OTHER","Another source, named in other_source_detail.","stored as one boolean column per source, not as this code. Non-null: an unticked box means ""not this source"", not ""not answered"""
"csra_assessment_stage_evidence_source.source","ALLOCATION_BOARD","Allocation board.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","ASSET_PLUS","AssetPlus.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","DPS","DPS. Shown in the interface as ""DPS/NOMIS"".","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","HEALTHCARE_ASSESSMENT","Healthcare assessment.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","INCENTIVES_REVIEW","Incentives review.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","MAPPA_REVIEW","MAPPA review.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","INTELLIGENCE_MANAGEMENT_SERVICE","Intelligence Management Service.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","OASYS","OASys.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","PLACEMENT_REVIEW_FORM","Placement review form.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","PNC","PNC.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","RECATEGORISATION_REVIEW","Recategorisation review.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","ROTL_BOARD","ROTL board.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","SAFETY_AND_SECURITY_FORM","Safety and security form.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","SAFETY_DIAGNOSTIC_TOOL","Safety diagnostic tool.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","SECURITY_FILE","Security file.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","SENTENCE_PLAN","Sentence plan.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","TRANSFER_CONFIRMATION_FORM","Transfer confirmation form.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","VIPER","VIPER.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
"csra_assessment_stage_evidence_source.source","OTHER","Another source, named in the accompanying free text.","review journey only. Records which sources the reviewer consulted - a different question from where a specific piece of offence evidence came from"
